et,sk
abajas,zátoka
abivalmis,nápomocný
abt,opát
aeglaselt,pomaly
afaasia,afázia
ainitine,sústredený
aktiivne,aktívny
algul,najprv
alkohoolik,alkoholik
alkohoolik,ožran
allkiri,podpis
alpinist,horolezec
analgeetikum,analgetikum
apteeker,lekárnik
areekapalm,areka
aristokraatlikult,aristokraticky
asetäitja,zástupca
atsükliline,acyklický
auaste,hodnosť
basaar,bazár
basiilika,bazilika
biplaan,dvojplošník
buldooser,buldozér
deebet,debet
delikaatne,chúlostivý
delikatess,pochúťka
detsember,december
dispersioon,rozptyl
dolomiit,dolomit
ebasiiras,neúprimný
ebatervislik,nezdravý
ebatüüpiliselt,atypicky
edutult,neúspešne
eelaste,profáza
eepos,epos
eksklusiivne,exkluzívny
eksklusiivne,výhradný
elu,život
emakas,maternica
emigratsioon,emigrácia
enne kui,pred
ennetama,predísť
esindatus,znázornenie
ettekääne,ospravedlnenie
fataalsus,osudovosť
filosoofia,filozofia
futuristlik,futuristický
fänn,fanúšik
geofüüsika,geofyzika
geograaf,geograf
glükoos,glukóza
haav,poranenie
habe,fúzy
hais,zápach
hammustama,uhryznúť
hapu,kyslý
harfist,harfeníčka
harva,málokedy
hauakiri,epitaf
hein,seno
heledasti,žiarivo
hertsoginna,vojvodkyňa
hullus,bláznovstvo
häving,nešťastie
hääletama,stopovať
hügieen,hygiena
ida,východ
ime,zázrak
infarkt,infarkt
inimene,človek
inkubaator,inkubátor
instinkt,inštinkt
intelligent,intoš
isa,oco
isa,otec
isiksus,osobnosť
isomorfism,izomorfizmus
jagatis,proporcia
joodik,pijan
juhend,inštrukcia
juhtimine,riadenie
juhtkond,rada
julge,statočný
julm,krutý
juriidiline,právnický
jutukas,zhovorčivý
järelkäija,stúpenec
kaalium,draslík
kaevik,priekopa
kaitse,ochrana
kajastama,podať
kalju,útes
kallis,milý
kantselei,kancelária
karu,medveď
kask,breza
kassa,pokladnica
katastroof,katastrofa
katki,zničený
katoliku,katolík
kaupmees,díler
kauss,jedlo
keeld,zákaz
keeruline,ťažký
keiserlik,cisársky
kergus,ľahkosť
keskel,naprostriedku
kesv,jačmeň
ketser,bludár
kevad,pružina
kihutama,rútiť
kiiresti,rýchlo
kindlustamatus,bieda
kinnisvara,nehnuteľnosť
kirjutama,vypísať
kirjutama,napísať
kiud,filament
kiudaine,tkanina
kloriid,chlorid
kodumaa,domovina
kohal,nado
kohut mõistma,súdiť
kommentaator,komentátor
kompanjon,spoločník
konflikt,rozpor
konkreetsus,konkrétnosť
konsulaat,konzulát
koolitus,školenie
kooniliselt,kónicky
koorima,obtiahnuť
koorima,lúpať
koos,spolu
kopeerima,kopírovať
koristama,spratať
kortik,ramienko
kraav,priekopa
kritiseerima,kritizovať
kruus,suť
kuhelik,halda
kuivati,sušička
kujundlikkus,obraznosť
kulu,výdavok
kunstnik,umelec
kustutama,hasiť
kutsar,kočiš
kuuluma,patriť
kuussada,šesťsto
kvaliteetne,kvalitný
kvantitatiivselt,kvantitatívne
kärsitu,netrpezlivý
kõdi,šteklenie
kõlapind,dopad
kõrgem ohvitser,generál
külla,návšetva
külmik,chladnička
kümnes,desiaty
laat,veľtrh
laat,jarmok
laen,zápožička
laen,výpožička
laenutama,požičať
laenutama,zapožičať
lahendama,vyriešiť
lahustuv,rozpustný
laialt,dokorán
lapsehoidja,babysitterka
lapsendama,prijať
leedu,litovský
lell,ujo
lesbi,lesbička
levima,rozšíriť
ligidus,blízkosť
liha,mäso
lihapall,karbonátok
liitumine,pripojenie
likviidsus,likvidita
linakarva,ľanový
linnumaja,voliéra
lisaaeg,predĺženie
lisajõgi,prítok
lisaks,navyše
lisama,priložiť
literaat,spisovateľka
lodjapuu,brusnica
loetav,čitateľný
loobumine,zrieknutie
loojuma,zapadnúť
loomalikult,beštiálne
luik,labuť
lukussepp,zámočník
lumine,zasnežený
läbipääs,priechod
läbirääkimine,vyjednávanie
lähedaselt,dôverne
lämbuma,udusiť
lõbustuspark,zábavný park
lõbustuspark,púť
lõdvalt,voľne
lõputu,nekonečný
löökpillimängija,perkusionista
lööma,poraziť
lüüriline,lyrický
maantee,cesta
magus,sladký
magustoit,sladkosť
maisipuder,polenta
majanduslik,ekonomický
malta keel,maltčina
matkaja,cestovateľ
matkama,turistika
meenutama,pripomínať
meister,majster
mikstuur,zmes
mitmus,plurál
mohäär,mohér
mongoli keel,mongolčina
moodne,moderný
moodustaja,zakladateľ
moon,mak
moosekant,hráčka
mu,môj
muti,maminka
muusikaline,hudobný
mägironimine,horolezectvo
mängima,zahrať
mängima,odohrať
märkama,spozorovať
märkama,zahliadnuť
mässaja,rebel
määratlema,definovať
mõjutama,ovplyvniť
mõnevõrra,trocha
mõttetult,nezmyselne
möire,rev
mürgitama,otráviť
nad,oni
nakkus,infekcia
natsism,nacizmus
natuke,málo
natuke,trocha
neiu,slečna
neologism,neologizmus
niivõrd,natoľko
nimetus,názov
nonkonformist,disident
noogutama,prikyvovať
nutikas,bystrý
nägemiseni,dovidenia
nägemist,dovidenia
nägu,tvár
näide,príklad
näitleja,herec
närviline,nervózny
näts,žuvačka
nõu,nápoveda
nöör,šnúrka
nüri,tupý
ohtlikkus,nebezpečenstvo
olema,byť
olevik,prítomnosť
omaja,majiteľ
onu,strýko
ootus,očakávanie
organiseerija,zakladateľ
osa,diel
oskama,dokázať
oskuslik,skúsený
otstarve,účel
pagulane,utečenec
pahandama,nadávať
paistetus,opuch
pakkuma,poskytnúť
pakkuma,ponúkať
paleontoloogia,paleontológia
palm,dlaň
palvevend,kazateľ
pangaautomaat,bankomat
pank,banka
pann,panvica
panus,stávka
parandamine,opravovanie
paremalt,sprava
parkima,parkovať
parodeerima,parodovať
partii,set
passiivselt,pasívne
peal,na
peale,vynímajúc
peatus,odročenie
pedofiil,pedofil
pesa,hniezdo
pidama,prevádzkovať
pidama,musieť
piimanaine,mliekár
piimjas,mliečny
piinlik,nepríjemný
piiratud,obmedzený
pikendama,natiahnuť
pikkamööda,pomaly
pistma,napichnúť
pistoda,dýka
plaaster,náplasť
poeem,báseň
polüstüreen,polystyrén
porgand,mrkva
positiivne,pozitívny
praadima,usmažiť
praadima,vyprážať
praktika,praktika
prerogatiiv,privilégium
prints,princ
prisma,hranol
professionaalne,profesionálny
professor,profesor
pronks,bronz
protseduur,procedúra
proua,pani
puhastamine,očista
puhuma,vanúť
puittaim,drevina
pukk,podstavec
punkt,bodka
punkt,stanovište
puru,bubáky
päike,slnko
päritolu,pôvod
pääsema,vyviaznuť
põlv,generácia
pööre,prevrat
püüdma,snažiť
raamatukogu,knižnica
raamatupood,kníhkupectvo
raev,zúrivosť
raevukas,zúrivý
rahaühik,mena
rajoon,obvod
rambus,únava
realiseerima,realizovať
regulaarne,regulárny
reklaamima,promovať
remont,oprava
remont,prestavba
ringkond,obor
rivaal,rival
ronima,liezť
rääkima,hovoriť
rõhk,tlak
saadik,posol
saag,píla
saama,dostať
saarlanna,ostrovanka
saepuru,piliny
salapolitseinik,detektív
salmonella,salmonela
sama,rovnaký
samm,krok
sammastik,kolonáda
sammud,kroky
sarkoom,sarkóm
savinõud,kamenina
seen,huba
seisund,status
selge,zreteľný
selgesõnaline,výslovný
servik,okraj
side,spojka
sigaret,cigareta
sihtkapital,dotácia
siiani,potiaľ
sirgelt,spriama
spetsiifiline,špecifický
suhkur,cukor
suhtlema,komunikovať
sukkpüksid,pančucha
surnuaed,cintorín
suruma,tlačiť
suunduma,zamieriť
suur,vysoký
suurendus,zväčšenie
suurenemine,zväčšovanie
suurenemine,vzostup
säilitama,uchovať
südameatakk,infarkt
sümbol,symbol
sümfooniline,symfonický
sündinud,narodený
sündsus,slušnosť
süstal,striekačka
süü,vina
süüdvest,juhozápad
ta,ona
taas,zase
taas,opätovne
tabamus,hit
taevalaotus,obloha
tahke,tuhý
tasand,level
taskurätik,vreckovka
tavaline,zvyčajný
teekond,cesta
teenindama,obsluhovať
teie,vy
televisioon,televízor
tempo,krok
tera,ostrie
tera,čepeľ
teravili,obilnina
tere,ahoj
termin,termín
testima,testovať
tibu,kurča
toetus,zabezpečenie
toetus,príspek
tohlakas,trúba
toll,clo
tootlikult,produktívne
torn,veža
traditsioon,tradícia
treenija,tréner
trumm,bubon
tsükkel,obdobie
tsüklotron,cyklotrón
tsütoloogia,cytológia
tuff,tuf
tujukas,náladový
tuleohtlik,horľavý
tuline,vrelý
tuliselt,vášnivo
tulistama,ostreľovať
tungraud,zdvihák
tähtsusetu,irelevantný
tähtsusetu,nedôležitý
täitumine,naplnenie
täitumine,uskutočnenie
täitumine,naplňovanie
tänav,ulica
tõde,pravdivosť
tõenäoliselt,zrejme
tõmblus,trhnutie
töötamine,fungovanie
tülitama,dotierať
tütarlaps,dievčatko
uimasti,narkotikum
ujumine,plávanie
uskumatu,neveriaci
usutaganeja,odpadlík
uustulnukas,zelenáč
vahejuhtum,incident
vahendaja,špiritista
vahukoor,šľahačka
vaikne,tichý
vald,sféra
vald,územie
valdkond,odbor
valdkond,oblasť
valija,volič
valima,voliť
valjuhäälselt,hlasno
vanaisa,starý otec
vang,trestanec
vang,zajatec
varjama,skrývať
vastama,opätovať
veekindel,vodeodolný
ventilaator,ventilátor
ventilaator,vetrák
vihaselt,rozčúlene
vihje,tip
viil,plátok
viima,doviesť
viitsepresident,podpredseda
viivitus,zdržanie
vikat,kosa
volitamata,neoprávnený
vooruslikkus,bezhriešnosť
vägivaldselt,násilne
vähk,rakovina
väle,čulý
väljatõugatu,vyvrheľ
väljavalitu,ženích
väsitama,unaviť
võimatu,nereálny
võime,schopnosť
võimlema,zacvičiť
võitma,zvíťaziť
võrre,úmera
võtma,brať
ähvardama,pohroziť
äratama,zobudiť
äratama,prebrať
õhutamine,podnecovanie
õlu,pivo
ühendama,zlúčiť
ühesugune,jednoliaty
ühesugune,rovanký
üle,cezo
üles,hore
ülesanne,príklad
ülevõim,nadvláda
ümarus,guľatosť
